,PGE_valley,SCE
0,71508.93638440153,1083.6458248450622
1,71508.93638440153,1083.6458248450622
2,71508.93638440153,1083.6458248450622
3,71508.93638440153,1083.6458248450622
4,71508.93638440153,1083.6458248450622
5,71508.93638440153,1083.6458248450622
6,71508.93638440153,1083.6458248450622
7,61152.34425452596,112.3881653473054
8,61152.34425452596,112.3881653473054
9,61152.34425452596,112.3881653473054
10,61152.34425452596,112.3881653473054
11,61152.34425452596,112.3881653473054
12,61152.34425452596,112.3881653473054
13,61152.34425452596,112.3881653473054
14,36140.314950166256,516.451778683645
15,36140.314950166256,516.451778683645
16,36280.498749388295,511.0651406220454
17,36222.52374139511,484.2516165862803
18,36270.790522255396,435.9689281591359
19,36206.65933333161,375.05614244219623
20,36163.174440380084,315.8552100770255
21,58726.410753440665,320.58814184924813
22,58371.18128103747,263.2770933939114
23,58198.06397746297,241.27061977133212
24,58212.66454380136,227.0422078631109
25,58171.17943452178,233.52795522365432
26,58184.74146337521,219.7200683468036
27,58229.62687897711,220.16887243248493
28,62134.032101889396,295.4880389861896
29,62272.72691139339,284.24761221645736
30,62342.236599939795,274.7185763640905
31,62462.94667824388,263.19278667263666
32,62675.33869719214,257.0434006754333
33,63090.268111610305,240.65899162134065
34,63439.925641993315,240.24669281001252
35,76083.79856888899,2876.8036159219123
36,75964.21720056985,2866.864407367171
37,75837.17328415191,2848.250855743387
38,75275.88867639772,2832.9110819485477
39,74803.4820327775,2814.836370250949
40,74647.7267221223,2833.3456654357938
41,74870.94589971707,2846.7699617552526
42,58036.12937593147,1683.516261842577
43,57594.44298330018,1689.5286935308436
44,57262.37782142116,1744.6249534372005
45,57015.31350417864,1802.0475035552904
46,56573.74148109606,1849.7961434679278
47,56611.50431526768,1901.4477069682343
48,56527.474347489544,1939.9217089427646
49,59494.25545576769,2598.462443135393
50,59399.21755658464,2636.6745457770185
51,59383.97590335347,2676.545250939947
52,59424.952009950626,2715.6965897357873
53,59171.38378472993,2700.5816066447865
54,58758.82034181874,2690.5057397717505
55,58536.511038528115,2689.4903453404254
56,45398.57209066175,585.873145557686
57,45093.25542645787,576.8543174875085
58,44872.4500504153,561.2066635470796
59,44683.56262563505,553.0836992698719
60,44524.84098643565,546.7013923206432
61,44541.7090741319,531.3608279406426
62,44684.01140497433,499.7682057436002
63,48827.30612842119,512.2976070844652
64,48405.68561452601,473.03501079316084
65,48220.45229168314,436.869192061479
66,48164.67131903961,398.29788767345553
67,48149.486020921075,356.8071175728205
68,48142.20276318662,310.3741742723862
69,48225.51160493502,72.24133961042435
70,55861.979098334225,481.134305449194
71,55369.33538316318,216.36660893421276
72,54846.526814062396,0.0
73,54565.40746687453,0.0
74,54208.577055778616,0.0
75,53916.75931950563,0.0
76,54396.80555153726,0.0
77,55832.088349663136,1377.9456267315845
78,55579.78283478953,1162.8892175165956
79,55300.50798336251,893.5925112271161
80,55197.43214040476,721.1763665667941
81,55037.62148347891,509.245238923153
82,54968.00953487112,233.9117609713703
83,55062.178242845344,198.97171073147365
84,47402.261698487,0.0
85,47529.35948789118,0.0
86,47549.59635895424,0.0
87,47585.03837660762,0.0
88,47594.08009834431,0.0
89,47476.7495085575,0.0
90,47599.31880483841,0.0
91,60969.72033850715,0.0
92,60542.511285576256,0.0
93,60185.018463789944,0.0
94,59905.64025005665,0.0
95,59837.86477119245,0.0
96,59747.238941677744,0.0
97,59832.93605454356,0.0
98,53178.69172934258,632.206073919403
99,53000.00685661964,623.5085448133623
100,53071.10388053402,656.7036016781904
101,53112.13886578162,676.2216481297864
102,53125.296580028444,666.0261430265673
103,53180.774860468744,829.6024093260903
104,53407.76892067466,845.2966877564895
105,57857.333231367586,1654.3966844093902
106,57556.0375390712,1686.3047503985
107,57265.330391342664,1851.9920500534563
108,57099.56344662096,1770.3032725851144
109,56924.87323257225,1574.3626114381896
110,56810.342919834555,1401.6855583848846
111,56646.1067040749,1178.8341270767087
112,54288.74095915799,1101.8748210270733
113,54100.23785048544,720.7388335669502
114,53842.67137459626,428.559892939219
115,53351.91379376097,107.43026004769763
116,52979.68787430876,0.0
117,52820.45676189408,0.0
118,52710.50542541351,0.0
119,69003.91701619384,6886.763776795706
120,68633.5445246897,6533.934780001715
121,68352.33011536955,6241.25131105678
122,67957.82796681684,5982.316971414259
123,67621.2744348408,5544.776790895594
124,67612.56164219655,5136.159018094408
125,67498.40279127703,4905.029298644171
126,72772.70015252547,7623.4518220677855
127,72376.35586066115,7274.675184153784
128,72078.37773234851,7016.5359148828575
129,72102.63964387485,6848.79431241726
130,72022.61420906929,6595.793013185445
131,72100.98962000891,6454.298936401425
132,72144.77273816489,6357.035462244647
133,77084.95529597727,8422.028144282012
134,77025.19294297787,8274.18512749801
135,76912.7130584344,8036.202303240407
136,76701.7784700933,7908.406087526808
137,76733.32577608354,7604.066776587046
138,76833.25735953005,7373.219150890247
139,76892.42846409492,7501.812088431441
140,71826.83114814044,6218.212396626313
141,71724.64390128417,6308.421556007352
142,71610.92352630888,6329.663034913592
143,71372.13020221164,6514.440280738734
144,70988.59650376365,6693.54012822764
145,70821.70607359783,6749.338182675689
146,70673.93650338778,7009.282218697954
147,56139.10506977295,2258.361171313678
148,55676.24189414388,2355.0498393001926
149,55048.908718257124,2613.096163248476
150,54525.739975746,2823.4517694556525
151,54101.19777597636,3064.073033700628
152,54175.974356028484,3255.6260973293283
153,54528.15903987334,3549.8774817686553
154,37869.28830528386,129.5754910415053
155,37957.19052117177,235.82476042478993
156,37931.02085506146,538.988545324697
157,37767.714464680554,871.7658399345983
158,37505.58932069461,1272.3031142235304
159,37278.32301146445,1604.2525545009994
160,37208.864497664465,2012.83616088475
161,34202.99534244352,3850.221988809428
162,33683.360105996966,4157.015646053182
163,33293.04715352136,4464.232447209401
164,32912.59920111122,4841.220399107286
165,32726.415395971646,5162.051878981182
166,32546.008927514416,5492.103758454194
167,32554.68794428641,5877.686757916867
168,27097.353895994172,8837.991064356836
169,26883.837094276525,9117.645076386578
170,26766.412115665767,9485.592698957027
171,26659.933134017825,9753.106243217704
172,26590.06996586039,10089.237854684408
173,26720.92218794387,10264.504721883306
174,26905.377527408004,10430.815487310898
175,21600.512797030646,10131.167079799634
176,21462.20068050227,10256.56159556102
177,21484.609645131422,10509.621414248795
178,21704.48672892215,10802.058345418302
179,22401.8115171345,10915.059154682222
180,22898.167716176606,11041.228529397593
181,23270.701672941716,11075.120794036065
182,14106.158448925547,1186.19368385269
183,13662.912608870942,1321.5874273516101
184,13437.417115839999,1433.0358769079348
185,13046.378971077924,1568.0858722369921
186,12649.127167844032,1670.4694973977826
187,12577.256964746732,1745.5848573577205
188,12650.415278104483,1832.773653562359
189,4344.224551498613,103.74894731809991
190,3955.5680358145473,147.79279337658772
191,3475.691487497046,176.9876481616593
192,3568.8324572886486,224.9103988463744
193,3594.7528599614234,263.7491260828929
194,3637.7873371680726,290.40471079992085
195,3746.6373110516943,324.983861056131
196,0.0,65.05832485441897
197,0.0,69.57566097704148
198,0.0,76.22792575699168
199,0.0,102.76572556461588
200,0.0,120.95973961117897
201,0.0,178.71990947724726
202,0.0,243.68028608704117
203,0.0,665.024818981417
204,0.0,740.0205666884381
205,0.0,872.2032304672116
206,0.0,959.0251987753782
207,0.0,1033.543802080805
208,0.0,1037.81158654821
209,0.0,1085.699876067621
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,257.8493940208173,0.0
236,539.6985623420296,0.0
237,548.5491033501239,0.0
238,371.66717000824065,0.0
239,423.821851312543,0.0
240,545.7159317984624,0.0
241,560.354463331656,0.0
242,679.8121408363768,0.0
243,1102.3999414231985,0.0
244,1550.4736429402838,0.0
245,874.0732066111268,0.0
246,962.1255021872203,0.0
247,1079.4669515693422,0.0
248,1241.595006915235,0.0
249,1656.8670447511286,0.0
250,2193.992219340729,0.0
251,2661.6700602199307,0.0
252,3202.262380112197,0.0
253,3540.4878723687652,0.0
254,3454.9652594036634,0.0
255,3822.3792077966536,0.0
256,3961.4419373844976,0.0
257,4233.642215976757,0.0
258,4617.6696514460255,0.0
259,4064.0232026195226,0.0
260,3975.8425428798637,0.0
261,4310.433783524999,0.0
262,4703.6836811186,0.0
263,4943.0266324225995,0.0
264,5215.388008981698,0.0
265,5539.027503847541,0.0
266,4782.524855479676,0.0
267,5202.135129332059,0.0
268,5396.860576831541,0.0
269,5672.911308774439,0.0
270,5879.06271235492,0.0
271,6162.4200235393255,0.0
272,6285.073963399402,0.0
273,10063.114580596903,0.0
274,10101.099221321016,0.0
275,10136.894765747467,0.0
276,10278.457922761136,0.0
277,10396.18905970109,0.0
278,10636.977652555765,0.0
279,10620.319043628562,0.0
280,9593.72883094462,0.0
281,9486.322087655022,0.0
282,9310.91309426352,0.0
283,9250.132719531997,0.0
284,9373.227862118078,0.0
285,9141.840656410877,0.0
286,8920.399352970078,0.0
287,9087.417345842936,0.0
288,8954.315409218936,0.0
289,8728.370295654136,0.0
290,8570.294717526935,0.0
291,8440.346918359734,0.0
292,8150.193726668536,0.0
293,8094.136898830933,0.0
294,11403.996342527302,0.0
295,11332.093815017703,0.0
296,11402.366609026503,0.0
297,11339.012316930934,0.0
298,11233.191137034923,0.0
299,11145.006917684153,0.0
300,11156.539071423937,0.0
301,25175.99838987662,0.0
302,25100.283100335022,0.0
303,25197.94470020809,0.0
304,25065.27783422889,0.0
305,24963.42707569751,0.0
306,24957.488165576997,0.0
307,24964.571280605378,0.0
308,51237.48788086047,348.333891238256
309,51264.72729375873,369.5775003786507
310,51466.00222287214,405.040531183133
311,51302.18480860989,420.40618813022957
312,51455.73366975981,374.0761722798263
313,51429.39701462413,354.95878857012053
314,51353.518993227655,351.1618507876583
315,52944.7929068386,558.7327812941512
316,53070.1684807034,556.5724831540717
317,53201.574221683404,510.79923733145597
318,53165.65360089694,474.96690189589344
319,53033.94921947534,439.200901353149
320,53090.2634722838,427.05413715611394
321,52951.27022485196,435.2478138837141
322,79617.91437707092,551.1663050953134
323,79419.72917052926,540.5937253849925
324,79223.13000883645,514.9548201799616
325,79172.90268608046,458.2561092299261
326,78940.52297645566,413.46722865657466
327,78719.42330878296,403.5899204121647
328,78611.41208670566,360.99384185111285
329,74176.51768918122,119.27939154895375
330,73916.01311473575,141.02054508526635
331,73711.32336753009,154.657186227269
332,73533.87859017987,153.05567941617073
333,73250.9415658084,158.90317648300424
334,73148.87562404081,142.4454468947224
335,73096.35374389237,123.78931273853414
336,34577.411434674534,0.0
337,34273.039868132546,0.0
338,33909.23725695034,0.0
339,33568.85782846248,0.0
340,33107.065831258675,0.0
341,33038.89019676973,0.0
342,32744.363014783306,0.0
343,47531.41417759072,0.0
344,47570.76008136191,0.0
345,47573.12167849631,0.0
346,47594.10247030671,0.0
347,47499.060416577115,0.0
348,47529.05880684997,0.0
349,47714.861624751575,0.0
350,36472.624510509326,1281.1991903225962
351,36472.624510509326,1281.1991903225962
352,36472.624510509326,1281.1991903225962
353,36472.624510509326,1281.1991903225962
354,36472.624510509326,1281.1991903225962
355,36472.624510509326,1281.1991903225962
356,36472.624510509326,1281.1991903225962
357,53891.09468455268,581.0991196089949
358,53891.09468455268,581.0991196089949
359,53891.09468455268,581.0991196089949
360,53891.09468455268,581.0991196089949
361,53891.09468455268,581.0991196089949
362,53891.09468455268,581.0991196089949
363,53891.09468455268,581.0991196089949
364,53891.09468455268,581.0991196089949
